City,Pincode,Has Cod,Has Prepaid,Has Reverse,Shiprocket Delivery Zone,Routing Code,State
BUNDI,323301,1,1,1,z_d,,RAJASTHAN
BUNDI,323302,1,1,1,z_d,,RAJASTHAN
CHITTORGARH,323303,1,1,1,z_d,,RAJASTHAN
Rawatbhata,323304,1,1,1,z_d,RAW/BAR,RAJASTHAN
Rawatbhata,323305,1,1,1,z_d,RAW/BAR,RAJASTHAN
CHITTORGARH,323306,1,1,1,z_d,,RAJASTHAN
Rawatbhata,323307,1,1,1,z_d,RAW/BAR,RAJASTHAN
BUNDI,323601,1,1,1,z_d,,RAJASTHAN
BUNDI,323602,1,1,1,z_d,,RAJASTHAN
Lakheri,323603,1,1,1,z_d,JAI/HUB,RAJASTHAN
LAKHERI,323604,1,1,1,z_d,N/S-11/22A/604,RAJASTHAN
LAKHERI,323606,1,1,1,z_d,N/S-11/22A/606,RAJASTHAN
Lakheri,323613,1,1,1,z_d,JAI/HUB,RAJASTHAN
Lakheri,323614,1,1,1,z_d,JAI/HUB,RAJASTHAN
Lakheri,323615,1,1,1,z_d,JAI/HUB,RAJASTHAN
BUNDI,323616,1,1,1,z_d,,RAJASTHAN
BUNDI,323801,1,1,1,z_d,,RAJASTHAN
BUNDI,323802,1,1,1,z_d,,RAJASTHAN
BUNDI,323803,1,1,1,z_d,,RAJASTHAN
Kota,324001,1,1,1,z_d,KTU/TRN,RAJASTHAN
KOTA,324002,1,1,1,z_d,NA,RAJASTHAN
KOTA,324003,1,1,1,z_d,NA,RAJASTHAN
KOTA,324004,1,1,1,z_d,NA,RAJASTHAN
KOTA,324005,1,1,1,z_d,NA,RAJASTHAN
KOTA,324006,1,1,1,z_d,NA,RAJASTHAN
KOTA,324007,1,1,1,z_d,NA,RAJASTHAN
KOTA,324008,1,1,1,z_d,NA,RAJASTHAN
KOTA,324009,1,1,1,z_d,NA,RAJASTHAN
Kota,324010,1,1,1,z_d,KTA/TRP,RAJASTHAN
Kota,324021,1,1,1,z_d,,Rajasthan
Kota,325001,1,1,1,z_d,KTU/TRN,RAJASTHAN
Kota,325003,1,1,1,z_d,KTA/TRP,RAJASTHAN
Itawa,325004,1,1,1,z_d,KTA/TRP,RAJASTHAN
LAKHERI,325006,1,1,1,z_d,N/S-11/22A/006,RAJASTHAN
Kota,325007,1,1,1,z_d,KTU/TRN,RAJASTHAN
